memory_budget,exemplar_size,T,batch_size,class_increment,train_accuracy,test_accuracy,average_accuracy
2000,10,2,32,10,75.5,60.8,62.41
2000,10,2,32,10,87.61,55.5,62.41
2000,10,2,32,10,87.39,63.7,62.41
2000,10,2,32,10,86.63,58.8,62.41
2000,10,2,32,10,87.27,60.1,62.41
2000,10,2,32,10,85.83,63.5,62.41
2000,10,2,32,10,85.17,65.7,62.41
2000,10,2,32,10,84.02,63.4,62.41
2000,10,2,32,10,81.63,62.5,62.41
2000,10,2,32,10,79.8,70.1,62.41
2000,10,2,64,10,79.72,58.7,63.26
2000,10,2,64,10,92.91,54.9,63.26
2000,10,2,64,10,93.9,62.8,63.26
2000,10,2,64,10,92.09,62.6,63.26
2000,10,2,64,10,90.99,64.3,63.26
2000,10,2,64,10,88.49,62.4,63.26
2000,10,2,64,10,86.62,66.5,63.26
2000,10,2,64,10,88.16,65.3,63.26
2000,10,2,64,10,85.73,66.1,63.26
2000,10,2,64,10,86.26,69.0,63.26
2000,10,2,128,10,73.06,55.8,62.21
2000,10,2,128,10,90.29,53.3,62.21
2000,10,2,128,10,94.89,64.1,62.21
2000,10,2,128,10,94.83,62.7,62.21
2000,10,2,128,10,94.03,63.8,62.21
2000,10,2,128,10,93.54,64.9,62.21
2000,10,2,128,10,93.14,67.9,62.21
2000,10,2,128,10,93.59,63.1,62.21
2000,10,2,128,10,91.69,56.9,62.21
2000,10,2,128,10,92.64,69.6,62.21
2000,10,2,256,10,88.32,59.7,60.24
2000,10,2,256,10,93.23,57.7,60.24
2000,10,2,256,10,94.66,60.5,60.24
2000,10,2,256,10,91.56,58.1,60.24
2000,10,2,256,10,90.21,60.1,60.24
2000,10,2,256,10,90.97,60.8,60.24
2000,10,2,256,10,90.53,60.8,60.24
2000,10,2,256,10,85.85,57.0,60.24
2000,10,2,256,10,90.54,60.0,60.24
2000,10,2,256,10,89.54,67.7,60.24
2000,10,2,32,20,70.32,61.3,63.02
2000,10,2,32,20,84.77,63.35,63.02
2000,10,2,32,20,85.18,63.45,63.02
2000,10,2,32,20,82.78,63.0,63.02
2000,10,2,32,20,82.68,64.0,63.02
2000,10,2,64,20,78.38,56.1,57.02
2000,10,2,64,20,92.18,57.6,57.02
2000,10,2,64,20,92.0,58.2,57.02
2000,10,2,64,20,86.89,54.2,57.02
