memory_budget,exemplar_size,T,batch_size,class_increment,train_accuracy,test_accuracy,average_accuracy
2000,20,2,32,1,97.13,96.6,88.63
2000,20,2,32,2,94.26,82.4,88.63
2000,20,2,32,3,93.9,87.55,88.63
2000,20,2,32,4,94.45,79.45,88.63
2000,20,2,32,5,94.51,91.85,88.63
2000,20,2,64,1,98.36,95.8,88.63
2000,20,2,64,2,96.37,75.3,88.63
2000,20,2,64,3,96.99,79.0,88.63
2000,20,2,64,4,96.28,91.0,88.63
2000,20,2,64,5,96.27,95.0,88.63
2000,20,2,128,1,98.58,95.8,88.63
2000,20,2,128,2,97.32,81.4,88.63
2000,20,2,128,3,96.2,82.25,88.63
2000,20,2,128,4,97.2,93.15,88.63
2000,20,2,128,5,95.78,90.35,88.63
2000,20,2,256,1,99.25,96.9,88.63
2000,20,2,256,2,98.74,77.85,88.63
2000,20,2,256,3,98.25,73.7,88.63
2000,20,2,256,4,95.3,92.55,88.63
2000,20,2,256,5,95.2,94.75,88.63
2000,20,5,32,1,96.83,96.9,88.63
2000,20,5,32,2,94.08,82.9,88.63
2000,20,5,32,3,93.63,87.2,88.63
2000,20,5,32,4,93.25,94.55,88.63
2000,20,5,32,5,92.32,92.0,88.63
2000,20,5,64,1,98.5,95.65,88.63
2000,20,5,64,2,95.2,86.6,88.63
2000,20,5,64,3,94.92,90.25,88.63
2000,20,5,64,4,93.98,84.7,88.63
2000,20,5,64,5,94.12,94.25,88.63
2000,20,5,128,1,98.72,95.25,88.63
2000,20,5,128,2,95.87,82.3,88.63
2000,20,5,128,3,95.84,86.75,88.63
2000,20,5,128,4,95.4,93.8,88.63
2000,20,5,128,5,94.42,92.45,88.63
2000,20,5,256,1,99.01,96.8,88.63
2000,20,5,256,2,97.43,77.5,88.63
2000,20,5,256,3,96.79,79.3,88.63
2000,20,5,256,4,95.77,84.2,88.63
2000,20,5,256,5,96.01,91.85,88.63
2000,20,10,32,1,96.91,95.15,88.63
2000,20,10,32,2,92.63,82.55,88.63
2000,20,10,32,3,94.1,87.3,88.63
2000,20,10,32,4,94.92,93.6,88.63
2000,20,10,32,5,93.11,93.35,88.63
2000,20,10,64,1,98.67,97.2,88.63
2000,20,10,64,2,96.22,78.9,88.63
2000,20,10,64,3,96.08,82.45,88.63
2000,20,10,64,4,93.76,88.95,88.63
2000,20,10,64,5,94.8,90.35,88.63
2000,20,10,128,1,99.34,95.65,88.63
2000,20,10,128,2,96.39,78.15,88.63
2000,20,10,128,3,94.97,84.15,88.63
2000,20,10,128,4,94.5,91.2,88.63
2000,20,10,128,5,95.13,88.6,88.63
2000,20,10,256,1,98.52,95.5,88.63
2000,20,10,256,2,98.32,77.0,88.63
2000,20,10,256,3,96.47,85.5,88.63
2000,20,10,256,4,96.69,90.2,88.63
2000,20,10,256,5,95.6,89.7,88.63
2000,50,2,32,1,96.88,97.15,88.63
2000,50,2,32,2,94.22,83.75,88.63
2000,50,2,32,3,92.72,84.7,88.63
2000,50,2,32,4,95.66,86.65,88.63
2000,50,2,32,5,95.5,95.2,88.63
2000,50,2,64,1,98.2,90.75,88.63
2000,50,2,64,2,95.81,82.45,88.63
2000,50,2,64,3,95.95,87.85,88.63
2000,50,2,64,4,96.33,92.55,88.63
2000,50,2,64,5,96.23,95.35,88.63
2000,50,2,128,1,97.84,94.55,88.63
2000,50,2,128,2,97.16,84.25,88.63
2000,50,2,128,3,95.86,74.65,88.63
2000,50,2,128,4,96.79,92.2,88.63
2000,50,2,128,5,96.42,88.15,88.63
2000,50,2,256,1,97.43,95.7,88.63
2000,50,2,256,2,97.51,80.0,88.63
2000,50,2,256,3,99.02,84.75,88.63
2000,50,2,256,4,96.99,90.45,88.63
2000,50,2,256,5,96.82,91.05,88.63
2000,50,5,32,1,97.31,96.35,88.63
2000,50,5,32,2,93.65,83.8,88.63
2000,50,5,32,3,93.12,88.85,88.63
2000,50,5,32,4,93.68,94.75,88.63
2000,50,5,32,5,93.7,94.2,88.63
2000,50,5,64,1,97.52,96.45,88.63
2000,50,5,64,2,95.96,67.5,88.63
2000,50,5,64,3,94.82,85.5,88.63
2000,50,5,64,4,95.92,90.85,88.63
2000,50,5,64,5,95.78,88.25,88.63
2000,50,5,128,1,99.15,95.8,88.63
2000,50,5,128,2,96.47,79.4,88.63
2000,50,5,128,3,96.21,79.6,88.63
2000,50,5,128,4,96.49,87.4,88.63
2000,50,5,128,5,95.18,90.65,88.63
2000,50,5,256,1,96.86,95.25,88.63
2000,50,5,256,2,97.68,78.1,88.63
2000,50,5,256,3,98.09,81.95,88.63
2000,50,5,256,4,96.54,90.65,88.63
2000,50,5,256,5,95.43,92.35,88.63
2000,50,10,32,1,96.84,95.6,88.63
2000,50,10,32,2,93.23,85.7,88.63
2000,50,10,32,3,93.54,80.95,88.63
2000,50,10,32,4,94.32,95.6,88.63
2000,50,10,32,5,92.52,90.85,88.63
2000,50,10,64,1,98.36,96.85,88.63
2000,50,10,64,2,96.45,79.4,88.63
2000,50,10,64,3,96.17,87.4,88.63
2000,50,10,64,4,95.37,84.1,88.63
2000,50,10,64,5,95.28,89.55,88.63
2000,50,10,128,1,98.95,93.2,88.63
2000,50,10,128,2,97.41,83.9,88.63
2000,50,10,128,3,95.67,83.15,88.63
2000,50,10,128,4,97.42,87.5,88.63
2000,50,10,128,5,95.9,91.5,88.63
2000,50,10,256,1,95.14,90.75,88.63
2000,50,10,256,2,96.2,73.75,88.63
2000,50,10,256,3,96.24,73.9,88.63
2000,50,10,256,4,93.56,87.7,88.63
2000,50,10,256,5,92.72,86.45,88.63
2000,100,2,32,1,97.17,96.65,88.63
2000,100,2,32,2,93.82,77.1,88.63
2000,100,2,32,3,93.68,88.15,88.63
2000,100,2,32,4,93.84,88.5,88.63
2000,100,2,32,5,94.33,93.55,88.63
2000,100,2,64,1,98.28,94.35,88.63
2000,100,2,64,2,95.83,84.05,88.63
2000,100,2,64,3,96.39,75.8,88.63
2000,100,2,64,4,96.54,90.95,88.63
2000,100,2,64,5,96.33,93.65,88.63
2000,100,2,128,1,97.05,97.2,88.63
2000,100,2,128,2,97.82,83.15,88.63
2000,100,2,128,3,97.78,86.3,88.63
2000,100,2,128,4,95.45,93.15,88.63
2000,100,2,128,5,95.35,90.85,88.63
2000,100,2,256,1,99.05,96.75,88.63
2000,100,2,256,2,97.94,76.75,88.63
2000,100,2,256,3,98.75,88.5,88.63
2000,100,2,256,4,96.69,90.15,88.63
2000,100,2,256,5,96.66,92.8,88.63
2000,100,5,32,1,96.9,96.8,88.63
2000,100,5,32,2,93.28,84.9,88.63
2000,100,5,32,3,93.65,69.2,88.63
2000,100,5,32,4,95.38,93.75,88.63
2000,100,5,32,5,94.29,90.6,88.63
2000,100,5,64,1,97.99,95.15,88.63
2000,100,5,64,2,96.78,84.1,88.63
2000,100,5,64,3,94.87,85.05,88.63
2000,100,5,64,4,93.47,81.55,88.63
2000,100,5,64,5,92.58,93.55,88.63
2000,100,5,128,1,98.97,92.6,88.63
2000,100,5,128,2,95.99,79.6,88.63
2000,100,5,128,3,96.49,87.95,88.63
2000,100,5,128,4,94.53,91.0,88.63
2000,100,5,128,5,94.14,92.7,88.63
2000,100,5,256,1,99.51,97.15,88.63
2000,100,5,256,2,98.28,80.75,88.63
2000,100,5,256,3,96.79,83.1,88.63
2000,100,5,256,4,95.47,91.25,88.63
2000,100,5,256,5,94.08,91.25,88.63
2000,100,10,32,1,96.64,96.5,88.63
2000,100,10,32,2,93.63,80.2,88.63
2000,100,10,32,3,93.69,86.3,88.63
